,emoji_symbol,emoji_name,emoji_code,emoji_description
1684,🇵🇭,🇭 Flag: Philippines,"U+1F1F5, U+1F1ED","The flag forPhilippines, which may show as the lettersPHon some platforms.The Flag: Philippines emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇭Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms."
1685,🇵🇰,🇰 Flag: Pakistan,"U+1F1F5, U+1F1F0","The flag forPakistan, which may show as the lettersPKon some platforms.The Flag: Pakistan emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇰Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms."
1686,🇵🇱,🇱 Flag: Poland,"U+1F1F5, U+1F1F1","The flag forPoland, which may show as the lettersPLon some platforms.The Flag: Poland emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇱Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms."
1687,🇵🇲,🇲 Flag: St. Pierre & Miquelon,"U+1F1F5, U+1F1F2","The Flag: St. Pierre & Miquelon emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1688,🇵🇳,🇳 Flag: Pitcairn Islands,"U+1F1F5, U+1F1F3","The Flag: Pitcairn Islands emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇳Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms."
1689,🇵🇷,🇷 Flag: Puerto Rico,"U+1F1F5, U+1F1F7","The flag forPuerto Rico, which may show as the lettersPRon some platforms.The Flag: Puerto Rico emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1690,🇵🇸,🇸 Flag: Palestinian Territories,"U+1F1F5, U+1F1F8","The Flag: Palestinian Territories emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇸Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms."
1691,🇵🇹,🇹 Flag: Portugal,"U+1F1F5, U+1F1F9","The flag forPortugal, which may show as the lettersPTon some platforms.The Flag: Portugal emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇹Regional Indicator Symbol Letter T.
These display as a single emoji on supported platforms."
1692,🇵🇼,🇼 Flag: Palau,"U+1F1F5, U+1F1FC","The flag forPalau, which may show as the lettersPWon some platforms.The Flag: Palau emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇼Regional Indicator Symbol Letter W.
These display as a single emoji on supported platforms."
1693,🇵🇾,🇾 Flag: Paraguay,"U+1F1F5, U+1F1FE","The flag forParaguay, which may show as the lettersPYon some platforms.The Flag: Paraguay emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇾Regional Indicator Symbol Letter Y.
These display as a single emoji on supported platforms."
1694,🇶🇦,🇦 Flag: Qatar,"U+1F1F6, U+1F1E6","The flag forQatar, which may show as the lettersQAon some platforms.The Flag: Qatar emoji is aflag sequencecombining🇶Regional Indicator Symbol Letter Qand🇦Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms."
1695,🇷🇪,🇪 Flag: Réunion,"U+1F1F7, U+1F1EA","The flag forRéunion, which may show as the lettersREon some platforms.Shown as either theVolcano + Sunbeamsflag proposal by theVexillological Association of Réunion, or theblue, white, red stripes + four colored quadrantsproposal by theAssociation for the Réunion Flag.TheFlag For Franceis the official flag of Réunion. All local flags used are unofficial.The Flag: Réunion emoji is aflag sequencecombining🇷Regional Indicator Symbol Letter Rand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1696,🇷🇴,🇴 Flag: Romania,"U+1F1F7, U+1F1F4","The flag forRomania, which may show as the lettersROon some platforms.The Flag: Romania emoji is aflag sequencecombining🇷Regional Indicator Symbol Letter Rand🇴Regional Indicator Symbol Letter O.
These display as a single emoji on supported platforms."
1697,🇷🇸,🇸 Flag: Serbia,"U+1F1F7, U+1F1F8","The flag forSerbia, which may show as the lettersRSon some platforms.The Flag: Serbia emoji is aflag sequencecombining🇷Regional Indicator Symbol Letter Rand🇸Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms."
1698,🇷🇺,🇺 Flag: Russia,"U+1F1F7, U+1F1FA","The flag forRussia, which may show as the lettersRUon some platforms.The Flag: Russia emoji is aflag sequencecombining🇷Regional Indicator Symbol Letter Rand🇺Regional Indicator Symbol Letter U.
These display as a single emoji on supported platforms."
1699,🇷🇼,🇼 Flag: Rwanda,"U+1F1F7, U+1F1FC","The flag forRwanda, which may show as the lettersRWon some platforms.The Flag: Rwanda emoji is aflag sequencecombining🇷Regional Indicator Symbol Letter Rand🇼Regional Indicator Symbol Letter W.
These display as a single emoji on supported platforms."
1700,🇸🇦,🇦 Flag: Saudi Arabia,"U+1F1F8, U+1F1E6","The flag forSaudi Arabia, which may show as the lettersSAon some platforms.The Flag: Saudi Arabia emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇦Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms."
1701,🇸🇧,🇧 Flag: Solomon Islands,"U+1F1F8, U+1F1E7","The flag forSolomon Islands, which may show as the lettersSBon some platforms.The Flag: Solomon Islands emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇧Regional Indicator Symbol Letter B.
These display as a single emoji on supported platforms."
1702,🇸🇨,🇨 Flag: Seychelles,"U+1F1F8, U+1F1E8","The flag forSeychelles, which may show as the lettersSCon some platforms.The Flag: Seychelles emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇨Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms."
1703,🇸🇩,🇩 Flag: Sudan,"U+1F1F8, U+1F1E9","The flag forSudan, which may show as the lettersSDon some platforms.The Flag: Sudan emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇩Regional Indicator Symbol Letter D.
These display as a single emoji on supported platforms."
1704,🇸🇪,🇪 Flag: Sweden,"U+1F1F8, U+1F1EA","The flag forSweden, which may show as the lettersSEon some platforms.The Flag: Sweden emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1705,🇸🇬,🇬 Flag: Singapore,"U+1F1F8, U+1F1EC","The flag forSingapore, which may show as the lettersSGon some platforms.The Flag: Singapore emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇬Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms."
1706,🇸🇭,🇭 Flag: St. Helena,"U+1F1F8, U+1F1ED","The flag for St. Helena, which may show as the lettersSHon some platforms.This same flag is used forAscension IslandandTristan Da Cunha.The Flag: St. Helena emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇭Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms."
1707,🇸🇮,🇮 Flag: Slovenia,"U+1F1F8, U+1F1EE","The flag forSlovenia, which may show as the lettersSIon some platforms.The Flag: Slovenia emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇮Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms."
1708,🇸🇯,🇯 Flag: Svalbard & Jan Mayen,"U+1F1F8, U+1F1EF","The flag for Svalbard & Jan Mayen, which may show as the lettersSJon some platforms.This is the same flag asNorway.The Flag: Svalbard & Jan Mayen emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇯Regional Indicator Symbol Letter J.
These display as a single emoji on supported platforms."
1709,🇸🇰,🇰 Flag: Slovakia,"U+1F1F8, U+1F1F0","The flag forSlovakia, which may show as the lettersSKon some platforms.The Flag: Slovakia emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇰Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms."
1710,🇸🇱,🇱 Flag: Sierra Leone,"U+1F1F8, U+1F1F1","The flag forSierra Leone, which may show as the lettersSLon some platforms.The Flag: Sierra Leone emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇱Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms."
1711,🇸🇲,🇲 Flag: San Marino,"U+1F1F8, U+1F1F2","The flag forSan Marino, which may show as the lettersSMon some platforms.The Flag: San Marino emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1712,🇸🇳,🇳 Flag: Senegal,"U+1F1F8, U+1F1F3","The flag forSenegal, which may show as the lettersSNon some platforms.The Flag: Senegal emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇳Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms."
1713,🇸🇴,🇴 Flag: Somalia,"U+1F1F8, U+1F1F4","The flag forSomalia, which may show as the lettersSOon some platforms.The Flag: Somalia emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇴Regional Indicator Symbol Letter O.
These display as a single emoji on supported platforms."
1714,🇸🇷,🇷 Flag: Suriname,"U+1F1F8, U+1F1F7","The flag forSuriname, which may show as the lettersSRon some platforms.The Flag: Suriname emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1715,🇸🇸,🇸 Flag: South Sudan,"U+1F1F8, U+1F1F8","The flag forSouth Sudan, which may show as the lettersSSon some platforms.The Flag: South Sudan emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇸Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms."
1716,🇸🇹,🇹 Flag: São Tomé & Príncipe,"U+1F1F8, U+1F1F9","The Flag: São Tomé & Príncipe emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇹Regional Indicator Symbol Letter T.
These display as a single emoji on supported platforms."
1717,🇸🇻,🇻 Flag: El Salvador,"U+1F1F8, U+1F1FB","The flag for El Salvador, which may show as the lettersSVon some platforms.The Flag: El Salvador emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇻Regional Indicator Symbol Letter V.
These display as a single emoji on supported platforms."
1718,🇸🇽,🇽 Flag: Sint Maarten,"U+1F1F8, U+1F1FD","The flag for Sint Maarten, which may show as the lettersSXon some platforms. This is theDutchhalf of the of the Caribbean island ofSaint Martin.Not to be confused withSt. Martin, the French half of the same island.The Flag: Sint Maarten emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇽Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms."
1719,🇸🇾,🇾 Flag: Syria,"U+1F1F8, U+1F1FE","The flag forSyria, which may show as the lettersSYon some platforms.The Flag: Syria emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇾Regional Indicator Symbol Letter Y.
These display as a single emoji on supported platforms."
1720,🇸🇿,🇿 Flag: Eswatini,"U+1F1F8, U+1F1FF","The flag forSwaziland, which may show as the lettersSZon some platforms.The Flag: Eswatini emoji is aflag sequencecombining🇸Regional Indicator Symbol Letter Sand🇿Regional Indicator Symbol Letter Z.
These display as a single emoji on supported platforms."
1721,🇹🇦,🇦 Flag: Tristan Da Cunha,"U+1F1F9, U+1F1E6","The flag for Tristan da Cunha, which may show as the lettersTAon some platforms.This same flag is used forAscension IslandandSt. Helena.The Flag: Tristan Da Cunha emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇦Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms."
1722,🇹🇨,🇨 Flag: Turks & Caicos Islands,"U+1F1F9, U+1F1E8","The Flag: Turks & Caicos Islands emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇨Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms."
1723,🇹🇩,🇩 Flag: Chad,"U+1F1F9, U+1F1E9","The flag for Chad, which may show as the lettersTDon some platforms.The Flag: Chad emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇩Regional Indicator Symbol Letter D.
These display as a single emoji on supported platforms."
1724,🇹🇫,🇫 Flag: French Southern Territories,"U+1F1F9, U+1F1EB","The flag for French Southern Territories, which may show as the lettersTFon some platforms.The Flag: French Southern Territories emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇫Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms."
1725,🇹🇬,🇬 Flag: Togo,"U+1F1F9, U+1F1EC","The flag forTogo, which may show as the lettersTGon some platforms.The Flag: Togo emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇬Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms."
1726,🇹🇭,🇭 Flag: Thailand,"U+1F1F9, U+1F1ED","The flag forThailand, which may show as the lettersTHon some platforms.The Flag: Thailand emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇭Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms."
1727,🇹🇯,🇯 Flag: Tajikistan,"U+1F1F9, U+1F1EF","The flag forTajikistan, which may show as the lettersTJon some platforms.The Flag: Tajikistan emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇯Regional Indicator Symbol Letter J.
These display as a single emoji on supported platforms."
1728,🇹🇰,🇰 Flag: Tokelau,"U+1F1F9, U+1F1F0","The flag forTokelau, which may show as the lettersTKon some platforms.The Flag: Tokelau emoji is aflag sequencecombining🇹Regional Indicator Symbol Letter Tand🇰Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms."
